dir,entry_idx,exit_idx,entry,exit,pnl,balance
LONG,15151,15152,66997.99,67131.98598000001,6.275103020509368,422.80128750392424
LONG,15208,15210,65983.19,65890.813534,-8.03026485356213,412.6570162128425
SHORT,15247,15251,65913.99,66006.26958600001,-7.84337190715776,402.7503592246205
SHORT,15259,15261,65859.5,65951.70330000001,-7.655076077782871,393.08153135071456
SHORT,15287,15288,65699.22,65567.82156,5.900153785574494,397.01627747953546
LONG,15341,15344,65929.35,65837.04891000001,-7.540530158168428,387.49066593396935
SHORT,15405,15414,66380.0,66472.932,-7.365035087406996,378.1881775168925
SHORT,15419,15420,66212.0,66304.6968,-7.1882226900638715,369.10901393924416
LONG,15425,15426,66678.98,66585.629428,-7.0104875017478285,360.2529813678001
SHORT,15487,15488,66150.0,66017.7,5.407397250330838,363.85911371129197
LONG,15514,15517,65986.28,65893.899208,-6.910776146718364,355.1290419960171
LONG,15558,15559,65539.26,65447.505035999995,-6.74496589463034,346.60843089140667
SHORT,15628,15630,64216.01,64087.57798,5.202592547680024,350.07798128462963
LONG,15635,15637,64334.0,64243.932400000005,-6.649031098538691,341.6785602796678
SHORT,15649,15650,64014.28,64103.899992000006,-6.49428439523603,333.4758830830334
SHORT,15676,15682,64046.01,64135.67441400001,-6.338376109759539,325.4701275578587
SHORT,15762,15763,64806.92,64897.649688000005,-6.186210714492557,317.65656620557684
LONG,15799,15800,64737.74,64867.21548,4.761671927421645,320.8299553019706
SHORT,15836,15839,65692.22,65784.189108,-6.098014960424788,313.1277905650359
LONG,15908,15919,66942.39,67076.27477999999,4.693785580569563,316.2559371927803
SHORT,15976,15982,67220.0,67314.10800000001,-6.011076598223526,308.66358090859285
SHORT,15994,15995,67187.26,67281.322164,-5.866768682329748,301.25349432172015
SHORT,16017,16019,67167.65,67261.68471,-5.725925166573257,294.0213016835383
LONG,16061,16068,67447.99,67582.88598,4.407379312236288,296.9585744873569
LONG,16100,16101,67974.0,68109.948,4.451409031565653,299.92519064648576
LONG,16159,16162,67852.01,67987.71402,4.495878607791028,302.92144330104435
LONG,16188,16208,67866.01,68001.74201999999,4.540792435082469,305.9476285196216
SHORT,16230,16239,68006.75,68101.95945000001,-5.81514657527287,298.60274380175065
SHORT,16264,16266,68048.01,68143.277214,-5.675542351440173,291.43418773130173
LONG,16351,16352,68814.34,68951.96867999999,4.368598474091974,294.3456152667372
SHORT,16359,16360,68321.14,68416.789596,-5.594627109375,287.2792600810285
SHORT,16404,16405,68619.97,68482.73006,4.312061693816216,290.15492547443955
SHORT,16409,16410,68088.82,68184.14434800002,-5.514974668493064,283.1891761785743
LONG,16436,16437,68128.0,68264.256,4.245005750916578,286.018236048598
SHORT,16457,16467,68011.16,67875.13768,4.2931337230896105,288.88127859144464
LONG,16494,16498,67541.99,67447.43121400001,-5.486722124287057,281.9501500742004
LONG,16513,16519,67459.86,67365.416196,-5.355079200359079,275.1853201234703
LONG,16699,16702,68105.44,68241.65088,4.125027948650768,277.93442147150375
SHORT,16727,16730,68626.01,68722.086414,-5.282699548909282,271.26204981523694
SHORT,16757,16767,69365.32,69462.43144800002,-5.155877780838622,264.74986178532214
SHORT,16789,16802,69552.05,69649.42287000001,-5.032100622953865,258.39401185344167
SHORT,16849,16850,69586.87,69447.69626,3.878494117920099,260.9805359120946
SHORT,16870,16871,69379.79,69241.03042,3.917317844040469,263.5929510765746
LONG,16924,16925,67274.01,67408.55802,3.951258336637931,266.2262446578296
SHORT,16945,16948,67300.0,67165.4,3.9960559323142535,268.89116936685474
LONG,16966,16967,67312.0,67446.624,4.030678628808999,271.57739214882946
LONG,17031,17032,66610.01,66516.755986,-5.158069409082351,265.0614357790029
SHORT,17060,17061,66462.0,66555.04680000001,-5.038022709851947,258.698105890256
LONG,17134,17135,66675.98,66582.633628,-4.913453125173632,252.49116223563107
LONG,17184,17191,66216.01,66348.44201999999,3.7848425219118393,255.01354894636475
SHORT,17273,17274,66146.49,66239.09508600002,-4.847042524823959,248.89143867680897
LONG,17292,17298,66344.01,66251.128386,-4.727195094788561,242.91978638863637
LONG,17352,17353,66175.53,66307.88106,3.641367597965692,245.34655505465886
SHORT,17372,17374,66273.99,66366.77358600001,-4.663301971924087,239.4565203074615
